Título do trabalho,Link,Veículo,Autores(as) do trabalho,Resumo do trabalho
Internações por síndrome respiratória aumentaram antes da covid-19,https://agenciabrasil.ebc.com.br/saude/noticia/2020-03/internacoes-por-sindrome-respiratoria-aumentaram-antes-da-covid-19,Agência Brasil,Akemi Nitahara,A reportagem utiliza dados do Sistema Infogripe da Fiocruz para mostrar que as internações por Síndrome Respiratória Aguda Grave (SRAG) no Brasil em 2020 tiveram aumento muito acima da média antes do primeiro caso oficial de Covid-19 no país. Isso indica que o novo coronavírus começou a circular no Brasil antes da primeira notificação oficial.
Rio ocupa o 7º lugar no ranking mundial de mortalidade pela covid-19,https://agenciabrasil.ebc.com.br/saude/noticia/2020-06/rio-ocupa-o-7o-lugar-no-ranking-mundial-de-mortalidade-pela-covid-19#,Agência Brasil,Akemi Nitahara,"A reportagem traz uma análise de dados do COVID-19: Observatório Fluminense (COVID19RJ), que colocava o estado do Rio de Janeiro em sétimo lugar mundial em número de mortes por 100 mil habitantes pela doença. A matéria foi publicada na época do pico da doença no estado e revela que o índice de letalidade estava acima da média do Brasil. Outros dados do observatório também são apresentados."
"Se aplicada hoje, PEC do Pacto Federativo acabaria com 1.012 cidades brasileiras",http://broadcast.com.br/cadernos/financeiro/?id=WUw5ZDZ4amRvUFZCKy9lM0tQWWkvZz09,Agência Estado/Broadcast,Cícero Cotrim; Thaís Barcellos,"Esta matéria investigou os possíveis efeitos da Proposta de Emenda à Constituição (PEC) do Pacto Federativo, enviada pelo governo federal ao Congresso em novembro de 2019. O texto previa a extinção de municípios com menos de cinco mil habitantes e receita própria inferior a 10% da arrecadação total. Por meio do cruzamento de dados do Tesouro Nacional com as estimativas populacionais do IBGE, descobrimos que o resultado seria o fim de 1.012 municípios – 18,16% dos 5.570 que existem no País."
40 Semanas: Grávidas durante a pandemia de Covid-19,https://agenciaesther.com.br/40-semanas-gravidas-durante-a-pandemia-de-covid19/,Agência Esther,Rosiana Alda ,"Diante de um cenário em que a pandemia pela Covid-19 colocou as gestantes no grupo de risco, diversas informações desencontradas passaram a fazer parte da rotina das futuras mães. Esta reportagem analisou dados sobre os casos de contaminação em  grávidas e/ou puérperas tanto no âmbito nacional quanto na cidade de São Paulo para compreender o que tem sido feito para proteger tanto as mães quanto seus bebês, principalmente pelo Brasil ainda ter um alto índice de Razão de Morte Materna (RMM) evitável."
No epicentro,https://piaui.folha.uol.com.br/lupa/epicentro/,Agência Lupa,"Natalia Leal, Alberto Cairo, Vinicius Sueiro, Rodrigo Menegat, Tiago Maranhão, Gilberto Scofield Jr., Marco Túlio Pires","No epicentro é uma ferramenta de visualização de dados criada com o objetivo de alertar para o número surpreendente de mortes no Brasil. Até 10 de agosto, mais de 100.000 pessoas morreram devido à Covid-19 no país. Mas pode ser difícil visualizar o que isso significa em um país tão grande. Essas mortes estão espalhadas por todos os 27 estados brasileiros. Mais da metade de todas as cidades brasileiras foram afetadas. Quando um avião cai e 250 pessoas morrem, é uma comoção nacional. Então, por que o mesmo não está acontecendo durante a pandemia? Por que ​as mortes pela Covid-19 são encaradas com certa apatia?Então, tivemos u​ma ideia: e se todas essas mortes tivessem acontecido perto do leitor?​ Como os principais surtos de Covid-19 aconteceram em algumas áreas metropolitanas, muitos brasileiros não veem os efeitos da doença em suas vidas diárias. Esta simulação foi criada para facilitar a compreensão da dimensão das nossas perdas.​ Depois que os leitores fornecem um endereço, eles veem um círculo desenhado em torno de sua localização: em tal cenário, todos que vivem naquela área teriam morrido.​ A fim de torná-la pessoal, esta narrativa baseada em mapa também apresenta uma cidade próxima que teria desaparecido completamente, se todas as mortes acontecessem dentro de seus limites.​ Gradualmente, a história muda de uma visão de perto para uma visão de longe - do local mais pessoal (uma simulação em torno da casa do leitor) para a visão geral mais ampla (a distribuição real das mortes em todo o país).​ No final, as pessoas são convidadas a baixar e compartilhar seus próprios mapas personalizados. Esse recurso permitiu que o projeto tivesse uma comunicação orgânica e pulverizada nas redes sociais."
Sentenças de Sergio Moro na Lava Jato foram mais rápidas antes do impeachment de Dilma,https://apublica.org/2020/02/sentencas-de-sergio-moro-na-lava-jato-foram-mais-rapidas-antes-do-impeachment-de-dilma/,Agência Pública,Taís Seibt; Naira Hofmeister; Pedro Papini,"A partir da análise de 102 processos criminais da Operação Lava Jato na Justiça Federal do Paraná, catalogados em uma base de dados própria, a reportagem mostra que  o tempo médio que o então juiz Sergio Moro levou para emitir uma sentença na Operação Lava Jato antes do impeachment de Dilma Rousseff (PT) foi de 263 dias. Depois da cassação da ex-presidente, o ritmo de resolução dos processos diminuiu: as decisões passaram a levar quase o dobro do tempo, 448 dias. "
"Com Bolsonaro, fazendas foram certificadas de maneira irregular em terras indígenas na Amazônia",https://apublica.org/2020/05/com-bolsonaro-fazendas-foram-certificadas-de-maneira-irregular-em-terras-indigenas-na-amazonia/,Agência Pública,"Bruno Fonseca, Rafael Oliveira","A reportagem é um levantamento exclusivo que revela que durante o governo Bolsonaro, mais de 100 propriedades foram autorizadas em terras indígenas que aguardam demarcação. As autorizações explodiram com a portaria da Funai publicada em abril de 2020 que permite a certificação de terras privadas em áreas indígenas não homologadas."
Incêndios já tomam quase metade das terras indígenas no Pantanal,https://apublica.org/2020/09/incendios-ja-tomam-quase-metade-das-terras-indigenas-no-pantanal/,Agência Pública,Bruno Fonseca; Bianca Muniz; Raphaela Ribeiro; Larissa Fernandes,"A reportagem é um cruzamento inédito de focos de incêndios com terras indígenas na região do Pantanal e revelou que em quase metade dessas áreas já havia focos até a primeira quinzena de setembro. A reportagem também mostrou como parte dos focos surgiram em terras privadas, inclusive na região dos indígenas Guató e do Parque do Encontro das Águas. A reportagem também levantou dados de focos de incêndio em todo o ano, informações da atuação de brigadas indígenas e dados de multas por crimes ambientais na região."
"Na ausência de ações integradas, Observatório traduz os dados sobre Covid-19 na Região de Campinas",http://agenciasn.com.br/arquivos/17818,Agência Social de Notícias,José Pedro Soares Martins,"A reportagem mostra como a falta de uma ação integrada e alinhada entre os entes federativos no Brasil, relacionada à Covid-19, alimentou a formação de observatórios para dar mais transparência e clareza aos dados sobre a evolução da pandemia. A reportagem foca no trabalho do painel sobre Covid-19 do Observatório da PUC-Campinas e do Observatório Covid-19 BR, formado por uma rede interdisciplinar de especialistas e estudantes."
Onde tem álcool gel?,https://www.agenciatatu.com.br/onde-tem-alcool-gel/,Agência Tatu de Jornalismo de Dados,Lucas Maia; Lucas Thaynan,"Com a chegada dos casos do novo coronavírus em Maceió, a busca por prevenção aumentou e praticamente zerou o estoque de um dos principais instrumentos para evitar a contaminação do vírus: o álcool em gel 70%. Pensando nisso, a Agência Tatu criou uma página para que os cidadãos pudessem acompanhar os estabelecimentos que ainda contavam com o produto e o preço cobrado em cada lugar. "
