Título do trabalho,ID,Veículo,Link,Formato,Autores(as) do trabalho,Data de publicação,Resumo do trabalho,Relevância,Originalidade,Metodologia
Ministério da Saúde possui R$ 245 milhões em medicamentos/produtos vencidos em estoque,1,TV Globo,https://globoplay.globo.com/v/10773450/,TV,"Vinícius Cassela, Marcelo Parreira, Letícia Carvalho, Delis Ortiz e Mariana Nigro",19/7/2022,"Ministério da Saúde possui R$ 245 milhões em medicamentos/produtos vencidos em estoque. Ao todo, são quase 22 milhões de frascos/comprimidos/unidades de produtos vencidos nos estoques que ficam no RJ e em SP. Os dados foram disponibilizados pelo órgão, via Lei de Acesso à Informação, na última quinta-feira (7). 

Dentre os itens vencidos, estão mais de 6 milhões de unidades de vacinas e 60% (3.757.882 de unidades) delas são vacinas da pentavalente, que garante a proteção contra a difteria, tétano, coqueluche, hepatite B e contra a bactéria haemophilus influenza tipo b. Ainda há 2,7 milhões de unidades de spray usado no tratamento de diabetes e outras 88 mil unidades de insulina, também utilizada no tratamento da doença. Há também 2 milhões de unidades de um medicamento bactericida e de medicamento para tratamento do HIV. Até mesmos kit de testes venceram, como os 45 mil para detecção da Dengue.

Os produtos cuja perda rendeu mais prejuízo ao Ministério estão as vacinas contra a covid-19. Foram 344 mil unidades perdidas, de várias dosagens diferentes, e que totalizaram R$ 46,6 milhões de rombo aos cofres públicos. Aliás, na lista ainda entram as famosas Azitromicina (142 mil unidades) e Cloroquina (22 mil unidades), que foram utilizadas no Kit Covid.

Do total de medicamentos vencidos, mais de 14 milhões são produtos vencidos há mais de um ano. Existem, até mesmo, medicamento vencidos há cinco anos e que continuam armazenados nos estoques do Ministério da Saúde.","A reportagem teve destaque por trazer, pela primeira vez, a relação completa de medicamentos vencidos que estão armazenados no Ministério da Saúde. Enquanto milhares de pessoas precisam de medicamentos retrovirais o órgão conseguiu perder mais de duas milhões de unidades por falta de organização logística. Da mesma forma que ocorreu com medicamentos para diabéticos, testes rápidos de dengue","Até a decisão de junho do ministro do Tribunal de Contas da União (TCU), Vital do Rêgo, o Ministério da Saúde teve que acatar a decisão de suspender o sigilo imposto sigilo às informações de estoque de medicamentos e produtos existentes nos centros de distribuição de responsabilidade do Ministério. E esta reportagem foi a primeira que destrinchou quais eram os medicamentos vencidos e o tamanho do rombo que o Ministério administra atualmente.","A partir da resposta do Ministério, convertemos a base de dados de 60 páginas de pdf para o formato xls. Em seguida, limpamos a base e fizemos um cálculo do tempo de validade restante para os produtos, usando como data de corte a do dia que fizemos o cálculo. Os dados negativos nós classificamos como medicamentos vencidos e os dados positivos foram classificados como ""à vencer"". Em seguida, classificamos a base de acordo com o tempo de vencimento, segregado em ""vencido em 1 ano; vencido há 2 anos; 3 anos; 4 anos e 5 anos ou mais"". Em seguida, padronizamos os nomes dos produtos, a fim de facilitar a contagem de produtos semelhantes. E, por fim, sumarizamos as bases a fim de conseguir quantificar a quantidade e os valores totais de cada um dos medicamentos."
Retomada da Economia,2,O POVO,https://mais.opovo.com.br/reportagens-especiais/retomada-da-economia,Online,Carol Kossling,27/6/2022,"O Projeto Retomada da Economia mostra qual a situação do País nos últimos anos. Além de reajustes econômicos e fiscais é necessário um novo olhar para as tendências mundiais e para os potenciais regionais. Na agenda para recuperar o que se perdeu, reorganizar o mercado de trabalho e criar novas oportunidades para o empreendedorismo e para os negócios de impacto social. São quatro episódios: Brasileiro consome 30% menos em 5 anos e efeito cascata atinge mercado de trabalho; Equilíbrio fiscal é pilar para recuperação econômica do País; Ceará pulveriza áreas para crescer; Um país chamado favela: moradores assumem protagonismo nos negócios","A Reportagem seriada traz muitas informações, dados, infográficos, artigos e fotos que contextualizam o atual momento da economia no Brasil e no Ceará e possibilidades para uma retomada.","Reunião de informações e sua tradução para dados e infográficos que facilitem a leitura com temas de macroeconomia, além de pautas cotidianas que interferem na vida de todos.",Em cada episódio foi estudada a melhor forma de apresentação de cada um dos dados para facilitar o entendimento e compreensão do leitor.
Ex-donos de corretora de criptoativos comandam golpe dos falsos emagrecedores,3,Aos Fatos,https://www.aosfatos.org/noticias/criptoativos-criptohub-golpe-falsos-emagrecedores/,Online,Marco André Faustino da Silva,27/6/2022,"A série investigativa teve início em 13 de junho de 2022 (https://www.aosfatos.org/noticias/rede-de-desinformacao-promoveu-golpe-da-lipozepina-ao-topo-das-buscas-por-falso-emagrecedor/) e culminou na revelação, duas semanas depois, de que ex-sócios e ex-executivos de uma corretora de criptoativos tirada do ar após arrecadar milhões de reais de clientes estavam por trás de uma rede de desinformação criada para aplicar golpes com a venda de falsos emagrecedores. O esquema existia desde dezembro do ano passado e utilizava sites e perfis falsos no Facebook e no Instagram, que tinham funções específicas, e era comandada por pessoas ligadas à CriptoHub, que fechou alegando dificuldades financeiras.

Com a ajuda de posts patrocinados, o golpe obteve 20 milhões de visualizações no Facebook em 11 dias e causou prejuízo a dezenas de milhares de pessoas que até hoje lutam para receber valores de volta.","A série investigativa resultou na prisão de membros de uma quadrilha suspeita de vender os falsos emagrecedores na internet (https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2022/07/06/quadrilha-e-presa-suspeita-de-venda-de-medicamentos-falsificados-pela-internet.ghtml). Como resultado, a Anvisa proibiu a comercialização, distribuição, fabricação e propaganda dos suplementos alimentares Lipotramina e Lipozepina, vendidos irregularmente como emagrecedores (https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2022/proibidos-os-produtos-lipotramina-e-lipozepina-vendidos-irregularmente-como-emagrecedores).

A investigação, portanto, teve um impacto real na vida do cidadão.","A série investigativa obteve um impacto real em impedir a propagação de um golpe financeiro e contra a saúde da população, que utilizava de desinformação para impulsionar vendas pela internet. Mostra também que a checagem de fatos transcende o ambiente virtual e se torna uma prestação de serviço imprescindível para a população no mundo real.","A série investigativa cruzou dados disponibilizados publicamente pela Receita Federal, pelo CruzaGrafos da Abraji, além de busca reversa pelo Google Analytics ID, por meio de uma ferramenta paga, de modo a identificar os demais sites que pertenciam a rede de sites enganosos e que utilizavam o mesmo código. Esse conjunto de dados ajudou a encontrar os responsáveis pela operação nas redes."
CSP: A história da siderúrgica que mudou a balança comercial cearense,4,O POVO,https://mais.opovo.com.br/reportagens-especiais/2022/08/05/csp-a-historia-da-siderurgica-que-mudou-a-balanca-comercial-cearense.html,Online,Carol Kossling e ArmandoDe Oliveira Lima,5/8/2022,"A reportagem especial CSP: A história da siderúrgica que mudou a balança comercial cearense  conta que após o início da operação da Companhia Siderúrgica do Pecém, em 2016, o Ceará deu um salto em relação à exportação aumentando anualmente o volume. Este ano, a indústria foi vendida para multinacional Arcelor Mittal.","Por tratar da venda de uma empresa importante para o Brasil e a aquisição ter sido por uma multinacional que impactará positivamente a produção siderúrgica do Brasil, e do Ceará.",Nenhum veículo do Ceará ou do Brasil fez esta análise de dados e linha do tempo sobre a instalação da empresa no Ceará e o que isso significou para o País.,"Foi pensado cuidadosamente em como tornar o conteúdo atrativo e de fácil leitura para o receptor da mensagem. Fora utilizados recursos gráficos, mapas, tabelas, gráficos e infográficos."
Recife tem a 4ª Câmara de Vereadores mais branca entre as capitais,5,Jornal do Commercio,https://jc.ne10.uol.com.br/politica/2021/11/13628793-recife-tem-a-4-camara-de-vereadores-mais-branca-entre-as-capitais.html,Impresso,Paulo Veras,20/11/2021,"Matéria mostra que Recife tem a 4ª Câmara mais branca entre as capitais do País, perdendo apenas para as três capitais da região Sul. Embora a maioria da população da cidade seja negra, 75% dos vereadores são brancos. Também traz números sobre as demais Câmaras de Vereadores do Estado. Em 97 cidades de Pernambuco, não há sequer um vereador preto.","O debate sobre a representação da população negra no legislativo local em Pernambuco, estado historicamente marcado pela exploração de mão de obra escravizada no ciclo açucareiro. A matéria também aborda o primeiro ano de funcionamento da Comissão de Igualdade Racial e Enfrentamento ao Racismo da Câmara do Recife.","No âmbito de Pernambuco, foi a primeira vez que esses dados foram analisados dessa forma e em comparação com o restante do país. Isso foi facilitado pelo lançamento da plataforma Panorama do Legislativo Municipal pelo DataSenado em novembro do ano passado.","Primeiro, utilizamos um raspador para coletas as informações sobre raça dos integrantes de todas as Câmaras Municipais no site Panorama do Legislativo Municipal, mantido pelo Senado Federal. Depois, essa base foi limpa e analisada. Optou-se por comparar o Recife apenas com capitais para evitar possíveis distorções no proporção de brancos/negros provocadas pelo baixo número de vereadores em muitas cidades do interior. Dados de 177 municípios pernambucanos disponíveis na plataforma também foram analisados. A distribuição racial nas Câmaras de Vereadores também foi comparada com dados de proporção da população por raça disponíveis no IBGE."
Hidrelétricas do rio São Francisco agravam a crise climática no Nordeste,6,InfoSãoFrancisco,https://infosaofrancisco.canoadetolda.org.br/noticias/crise-climatica/hidreletricas-do-rio-sao-francisco-agravam-a-crise-climatica-no-nordeste/,Online,Antônio Laranjeira,9/7/2022,"As disputas por água são diretamente relacionadas à produção de energia elétrica e redesenham o curso do rio que, apesar de chuvas mais fortes hidrelétricas cheias até 99%, ainda convive com a falta de vazão. Mas o que justifica? Entenda essa contradição nesta reportagem especial.","Antônio Laranjeira elaborou esta matéria com uma bolsa de jornalismo fornecida pela parceria entre o ClimaInfo com o apoio financeiro do Instrumento de Parceria da União Europeia com o Ministério Federal Alemão para o Meio Ambiente, Conservação da Natureza e Segurança Nuclear (BMU) no contexto da Iniciativa Climática Internacional (IKI). Os conteúdos desta publicação são de inteira responsabilidade dos seus organizadores e não necessariamente refletem a visão dos financiadores.","Em um deserto de notícias ambientais como Sergipe, a reportagem em multimídia (com imagens de satélite de 40 anos) traz luz sobre as questões das vazões do rio São Francisco com base nos dados públicos da ANA, bem como documentos do IBAMA e declarações da diretoria da CHESF e CBHSF a respeito da gestão das usinas e governança da água. Ao longo da história, argumentos científicos e artifícios populares para correlacionar a crise climática com a gestão temerária das águas em uma franca privatização e especulação na última década (2012-2022).","Coletamos e observamos imagens de satélite (1964/2020) da usina de Xingó usando recurso da Google Earth e dados da NASA com timelapse, assim elaboramos um recorte da reportagem no raio de comunidades em zona de riscos por inundações em casos de cheias do rio São Francisco.

Harmonizamos menino gráfico interativo os dados de vazão, utilizando do Data Wrapper, e comparamos os valores com o volume dos caminhões pipa de modo a dar uma proporção hídrica regionalizada (em metros cúbicos) conforme a realidade socioespacial (longe da realidade das piscinas olímpicas) com comunidades resilientes nesta zona do Semiárido.

Observamos depoimentos de pessoas com mais de 30 anos de vivência com o rio São Francisco para comparar com dados de 30 anos da crise climática de acordo com relatório do IPCC 2022."
Zero é relativo: o que oscilações das médias semanal e quinzenal não revelam dos óbitos diários por Covid-19,7,CIDACS/Fiocruz,https://cidacs.bahia.fiocruz.br/2021/11/25/zero-e-relativo-covid-19/,Online,Antônio Laranjeira,25/11/2021,A reportagem de dados explica o que um “zero” pode significar? Dados podem servir para notícias promotoras das informações científicas úteis ou podem acabar sendo utilizados para notícias detratoras do real significado do número mais problemático para analisar a Covid-19.,"Entre os fatos e os dados de Saúde existe um percurso que começa nas interpretações científicas e segue na circulação de informações nas mídias. No começo da pandemia da Covid-19, o risco de óbito pela contaminação do vírus SARS-CoV-2 era desbravado pelas pesquisas, muitas delas desenvolvidas pela Fundação Oswaldo Cruz (Fiocruz). Nesse momento, era comum que as notícias, diariamente, tratassem da modelagem estatística e da modelagem matemática.

Passamos a ter visões computacionais nos jornais como nunca antes. Em diferentes mídias, os mapas e gráficos de dados da pandemia assumiram o destaque dos noticiários, sobretudo para os óbitos. Para visualizar as dinâmicas do novo vírus em diferentes escalas do espaço, do local ao global, as plataformas de análise de dados tornaram-se oásis de informação confiável em meio a um deserto de desinformação.

A Pamepi é uma das plataformas que obteve destaque nos noticiários neste período pandêmico. A iniciativa integra uma frente internacional de inovações socialmente dirigidas, a International Covid-19 Data Alliance (ICODA).

Criada para realizar previsões epidemiológicas sobre os cenários da Covid-19, as modelagens da Pamepi auxiliam, desde 2020, nas tomadas de decisão de gestores públicos de todo Brasil, bem como nas pesquisas de grupos de diferentes universidades do país.","Estes resultados servem de alerta se considerarmos, conforme análises da Pamepi, que a mobilidade é um dos fatores principais que impulsiona novas “ondas” de infecção e que a vacinação ainda não atingiu um nível de cobertura “ótimo” em termos estatísticos.

A Pamepi é uma das plataformas que obteve destaque nos noticiários neste período pandêmico. A iniciativa integra uma frente internacional de inovações socialmente dirigidas, a International Covid-19 Data Alliance (ICODA).

Criada para realizar previsões epidemiológicas sobre os cenários da Covid-19, as modelagens da Pamepi auxiliam, desde 2020, nas tomadas de decisão de gestores públicos de todo Brasil, bem como nas pesquisas de grupos de diferentes universidades do país.","Para entendermos a relatividade do número “zero” é preciso coletar dados da oscilação das médias de óbitos por COVID-19, durante ao menos três dias. As coletas dos dados (com o recurso de captura de tela) foram feitas nos últimos dias 30 de outubro, 10 de novembro e 20 de novembro.

A reportagem mostra em dois estados (Acre e Ceará) que zero óbitos nos últimos 15 dias é bom. Mas é preciso alertar a população em geral que a pandemia ainda não acabou e que grande mobilidade e festejos em áreas demograficamente densas e geograficamente centrais – como o exemplo de Fortaleza, no Ceará – podem fazer subir o número de casos e como consequência alterar o número dessa tão estimada média.

Todos os dados e tutoriais da Pamepi bem como os modelos estatísticos e matemáticos utilizados e seus dicionários estão no GitHub: www.pamepi.fiocruz.rondonia.br"
Conheça o lado cinza dos marketplaces,8,AIoT Brasil,https://aiotbrasil.com.br/ecommerce/o-lado-cinza-dos-marketplaces/,Online,Daniel dos Santos,16/12/2021," Durante 3 meses o AIoT Brasil viu ofertas com preços imbatíveis em sites de grandes varejistas online,  conversou com os principais executivos  de dezenas de empresas, associações do setor, clientes, vendedores (além de fazer várias compras) e checou a base de dados da Anatel para verificar se os produtos eram homologados e legalizados. E encontrou coisas como anúncios com nomes sugestivos como Sky Gato e Gato Net, aparelhos como drones, smartwatches, smartphones e acessórios vendidos por menos da metade do cobrado tradicionalmente, itens vendidos sem nota fiscal ou mesmo produtos que não têm sequer o nome do fabricante ou um número de série.  Esse tipo de atividade impacta a economia de forma negativa (ceifando empregos e impostos) e chega a colocar em risco a vida do consumidor. ","A série de reportagens é importante por alertar o consumidor (que muitas vezes acredita que, por estar comprando em uma grande loja online, como o Submarino ou Americanas, por exemplo, pode confiar plenamente nessa compra) e as autoridades sobre as várias ilegalidades que são cometidas abertamente pelas lojas online. Esse tipo de atividade impacta a economia de forma negativa (ceifando empregos e impostos) e chega a colocar em risco a vida do consumidor. ","A questão sobre as infrações (pirataria, sonegação de imposto, oferta de produtos sem marca, equipamentos não homologados, aparelhos que interferem no sinal de aeroportos, produtos que podem explodir etc.) cometidas pelos grandes varejistas online (Amazon, Submarino, Americans, Shopee, Mercado Livre etc.) é muito pouco debatida pelos grandes veículos de comunicação. Possivelmente porque são grandes anunciantes ou mesmo por desconhecimento disso. ","O trabalho levou 3 meses de apuração e os dados foram levantados com o uso de ferramentas de busca como o Google e base de dados sobre homologação de produtos eletrônicos da Anatel  (https://informacoes.anatel.gov.br/paineis/certificacao-de-produtos/consulta-de-produtos), além de análise manual dos anúncios oferecidos e checagem das informações com vendedores (legais e ilegais) e especialistas. Também foram entrevistados presidentes de grandes empresas e associações do setor, além de especialistas em cada área abordada. "
"Medo, morte e abandono rondam defensoras do meio ambiente ",9,Revista AzMina,https://azmina.com.br/reportagens/medo-e-abandono-rondam-defensoras/,Online,Joana Suarez,21/7/2022,"Todos os meses, em média, registram-se três casos de ameaças, mortes ou tentativas de assassinato de mulheres ativistas de causas ambientais no país. E essas são apenas as que ficam conhecidas, muitas não são noticiadas. Longe dos grandes centros urbanos, elas arriscam suas vidas lutando por um pedaço de terra para trabalho, para ter comida em casa, para ter um futuro e manter a natureza viva. Levantamento d'AzMina identifica mulheres ativistas que sofrem ameaças, tentativas de assassinato e perdem a vida em conflitos no campo brasileiro. 

 Em 2021, foram 26 mulheres ameaçadas, duas mortes e quatro tentativas de assassinato. As que sofrem mais perigo são as posseiras, sem-terra, indígenas e quilombolas. Elas estão nas cinco regiões do país, em 18 estados, mas sobretudo no Norte e Nordeste – no Pará, Maranhão, Rondônia, Pernambuco, Bahia, Amazonas. E lideram suas comunidades. Nos relatórios da Comissão Pastoral da Terra, quase metade (42%) das mulheres foram identificadas como sendo lideranças (lembrando que muitas sequer se reconhecem assim).

Fizemos esse levantamento inédito a partir dos relatórios de conflitos no campo da Comissão Pastoral da Terra (CPT) com recorte de gênero (algo que não é feito por entidades nem órgãos oficiais), identificando nas listas todas as mulheres que foram assassinadas, sofreram tentativas de assassinatos e foram ameaçadas de 2015 até o último relatório publicado (de 2021). 

São mulheres indígenas, quilombolas, sem-terra, posseiras..., de todas as regiões do país, sobretudo Norte e Nordeste. Também traçamos como a violência de gênero se soma à violência no campo. 

Conversei com mulheres ameaçadas em diferentes atividades e partes do Brasil, busquei pesquisadores e estudos relacionados ao tema, e entrevistei o representante do governo federal sobre o programa de proteção aos defensores. ","O Brasil é um lugar perigoso para mulheres que defendem o meio ambiente, seus territórios, seus direitos e suas comunidades. De 2015 até 2021, 24 foram mortas em áreas de conflitos no campo brasileiro. No mesmo período, 40 sofreram tentativa de assassinato. E cerca de 200 mulheres foram ameaçadas de morte. Os dados são da Comissão Pastoral da Terra (CPT).

A CPT monitora os casos que são publicizados, ou que chegam até eles, para elaborar um relatório anual com os crimes e conflitos no campo. Mas não divulga com um recorte de gênero, separando as mulheres em perigo, mortas ou ameaçadas. A Revista AzMina fez esse levantamento inédito a partir dos dados de 2015 até o último relatório publicado em abril de 2022 (relativo a 2021). Coletamos os nomes femininos referentes às vítimas de assassinatos, tentativas de assassinatos e ameaças de morte.","Além dois dados inéditos com recorte de gênero sobre um problema que tem se intensificado no Brasil, de mortes e ameaças aos ativistas ambientais, apresentamos na matéria multimídia seletores para que os leitores pudessem selecionar o tipo de crime cometido contra as defensoras e ver ao longo da matéria os quatro gráficos com a quantidade de ocorrências ano a ano; com os estados onde essas mulheres estão no mapa do país; com os perfis (como elas se identificam enquanto grupos sociais); e com as histórias de quem morreu, quem sofreu tentativa de assassinato e quem é ameaçada há vários anos.","Entramos em todos relatórios de Conflitos no Campo, da Comissão Pastoral da Terra (de 2015 a 2021), que possuem tabelas referentes às vítimas de assassinatos, tentativas de assassinatos e ameaças de morte, com os nomes, localizações, datas e perfil das pessoas. Coletamos todos os dados com nomes de mulheres em cada uma das tabelas."
"Na terra onde morreu Dorothy Stang, um agricultor vive ameaçado",10,"SDDH, Fundo Brasil",https://brasildedireitos.org.br/atualidades/na-terra-onde-morreu-dorothy-stang-um-agricultor-vive-ameaado,Online,Cristivan Alves e  Rafael Ciscati,30/8/2020,"Já das 22h do dia 12 de dezembro, quando Erasmo Alves Teófilo ouviu os primeiros tiros. Três disparos seguidos de uma ameaça esbravejada. Teófilo e família tinham ido passar a noite na casa do pai, uma residência pequena localizada na zona rural de Anapu, cidade no sudoeste do Pará. Aos 33 anos ele é homem robusto que, vítima da queda infantil, se locomove numa cadeira de rodas. É, também, presidente da Cooperativa de Agricultores da Volta Grande do Xingu (COOPEVAX). O grupo reúne cerca de 350 que, há mais de uma família, brigam na justiça pelo direito de permanecer — e produzir — nas terras que ocupam. A demanda, Teófilo, o colocou em rota de proteção. Grileiros que cobiçam o mesmo território e falsificam títulos de posse para criar gado. Naquela noite de fins de 2019.",A primeira matéria que denúncias as ameaças que sofre o presidente da cooperativa no município de anapu no Pará.,Denúncia que Erasmo Teofilo sofria e após essa reportagem ele ganha proteção das ongs dos Direitos Humanos.,"Entrevistas por aparelho de celular móvel  com Erasmo Teófilo e levantamentos das reportagem sobre o Município de Anapu no Pará,  e levantamentos dos caço de conflitos agrário pelo site da CPT, "
